,latitude,longitude,start_count,station,end_count
688,40.778301,-73.9488134,2494.0,E 88 St & 1 Ave,2510
689,40.7785669,-73.97754961,2269.0,W 74 St & Columbus Ave,2166
690,40.77862688,-73.95772073,1930.0,E 84 St & Park Ave,1889
691,40.7787185,-73.9145645,466.0,Crescent St & Ditmars Blvd,460
692,40.77896784,-73.97374737,4386.0,Central Park West & W 76 St,4094
693,40.779668090073116,-73.98093044757842,6195.0,Amsterdam Ave & W 73 St,6026
694,40.7801839724239,-73.97728532552719,3872.0,W 76 St & Columbus Ave,3018
695,40.780577990103346,-73.98562431335448,3705.0,Riverside Dr & W 72 St,3672
696,40.7806284,-73.9521667,2463.0,E 89 St & 3 Ave,2450
697,40.781122299341654,-73.94965589046478,2718.0,E 91 St & 2 Ave,2734
698,40.781410700190015,-73.95595908164978,1467.0,E 88 St & Park Ave,1479
699,40.78145,-73.9183302,909.0,Ditmars Blvd & 19 St,889
700,40.78172120000001,-73.94594000000001,1723.0,1 Ave & E 94 St,1740
701,40.78245417527987,-73.94891962409021,1582.0,E 93 St & 2 Ave,1604
702,40.782593,-73.971211,4169.0,Central Park West & W 82 St,3705
703,40.7829391,-73.9786517,3741.0,Amsterdam Ave & W 79 St,3749
704,40.78307,-73.95939,7186.0,5 Ave & E 88 St,7220
705,40.78339981,-73.98093133,2352.0,W 78 St & Broadway,2352
706,40.7835016,-73.955327,1577.0,E 91 St & Park Ave,1574
707,40.7839636,-73.94716729999999,3034.0,2 Ave & E 96 St,3066
708,40.78414472,-73.98362492,2430.0,Riverside Dr & W 78 St,2423
709,40.784596798848916,-73.94968539476396,383.0,3 Ave & E 95 St,381
710,40.78472675,-73.96961715,4923.0,Central Park West & W 85 St,4707
711,40.7849032,-73.950503,709.0,E 95 St & 3 Ave,723
712,40.78499979,-73.97283406,2743.0,W 84 St & Columbus Ave,2651
713,40.78524672,-73.97667321,3631.0,Amsterdam Ave & W 82 St,3534
714,40.785785100000005,-73.957481,2458.0,5 Ave & E 93 St,2433
715,40.7859201,-73.94860294,870.0,E 97 St & 3 Ave,875
716,40.786258600000004,-73.94552579,944.0,2 Ave & E 99 St,940
717,40.7867947,-73.977112,3261.0,W 84 St & Broadway,2670
718,40.7869946,-73.94164802,2377.0,E 102 St & 1 Ave,2385
719,40.78720869,-73.98128127,2447.0,Riverside Dr & W 82 St,2454
720,40.787721399999995,-73.94728331,627.0,3 Ave & E 100 St,639
721,40.787801,-73.953559,2063.0,E 97 St & Madison Ave,2073
722,40.788129999999995,-73.95206,742.0,E 98 St & Park Ave,739
723,40.7882213,-73.97041561,3188.0,W 89 St & Columbus Ave,2864
724,40.78839,-73.9747,2106.0,W 87 St & Amsterdam Ave,2015
725,40.789210499999996,-73.94370784,1552.0,2 Ave & E 104 St,1557
726,40.7892529,-73.93956237,932.0,E 106 St & 1 Ave,933
727,40.78948541553215,-73.9524292945862,1323.0,Madison Ave & E 99 St,1323
728,40.789621999999994,-73.97757,2065.0,W 87 St & West End Ave,2016
729,40.79017948095081,-73.97288918495178,1560.0,W 90 St & Amsterdam Ave,1571
730,40.790305100000005,-73.94755757,1395.0,E 103 St & Lexington Ave,1391
731,40.7904828,-73.95033068,1068.0,E 102 St & Park Ave,1090
732,40.791270000000004,-73.964839,5109.0,Central Park W & W 96 St,4498
733,40.7919557,-73.968087,4122.0,Columbus Ave & W 95 St,4122
734,40.791976,-73.945993,968.0,E 106 St & Lexington Ave,972
735,40.7921,-73.9739,1898.0,W 92 St & Broadway,1922
736,40.792255299999994,-73.95249933,3080.0,5 Ave & E 103 St,3086
737,40.7923272,-73.9383,1538.0,1 Ave & E 110 St,1532
738,40.793134809866636,-73.97700369358063,1780.0,Riverside Dr & W 91 St,1794
739,40.79329668,-73.9432083,1081.0,E 109 St & 3 Ave,1084
740,40.79343370000001,-73.94945003,1120.0,E 106 St & Madison Ave,1112
741,40.7937704,-73.971888,3092.0,W 95 St & Broadway,3092
742,40.794066608185524,-73.96286845207214,3135.0,Central Park West & W 100 St,3082
743,40.7941654,-73.974124,1979.0,West End Ave & W 94 St,1980
744,40.79456629999999,-73.9362541,851.0,E 114 St & 1 Ave,849
745,40.794987899999995,-73.9333349,1953.0,Pleasant Ave & E 116 St,1955
746,40.795,-73.9645,1991.0,W 100 St & Manhattan Ave,1912
747,40.795346,-73.96186,1405.0,Central Park West & W 102 St,1279
748,40.79541210000001,-73.9441232,1392.0,Lexington Ave & E 111 St,1419
749,40.795508,-73.94160600000001,518.0,3 Ave & E 112 St,514
750,40.796153499999996,-73.94782145,2039.0,E 110 St & Madison Ave,2048
751,40.796879,-73.93726099999999,404.0,E 116 St & 2 Ave,407
752,40.7969347,-73.9643412291,448.0,Columbus Ave & W 103 St,434
753,40.797372100000004,-73.97041192,2723.0,W 100 St & Broadway,2665
754,40.797470000000004,-73.93504,1057.0,E 118 St & 1 Ave,1068
755,40.7974772,-73.9311847,847.0,Pleasant Ave & E 120 St,848
756,40.797911,-73.9423,1233.0,E 115 St & Lexington Ave,1238
757,40.798185600000004,-73.96059090060001,3130.0,W 106 St & Central Park West,2772
758,40.7987859,-73.9523,3994.0,Lenox Ave & W 111 St,4126
759,40.7989445,-73.944846,778.0,E 115 St & Madison Ave,782
760,40.79904139288298,-73.96649479866028,1544.0,W 104 St & Amsterdam Ave,1394
761,40.799139000000004,-73.9389152,1121.0,E 118 St & 3 Ave,1127
762,40.799484,-73.955613,4991.0,Central Park North & Adam Clayton Powell Blvd,5067
763,40.7997568,-73.9621128676,312.0,W 107 St & Columbus Ave,295
764,40.8005385,-73.9419949,562.0,E 118 St & Park Ave,588
765,40.8006721,-73.9349,371.0,2 Ave & E 122 St,382
766,40.80083629999999,-73.9664492472,1756.0,W 106 St & Amsterdam Ave,1753
767,40.8011939,-73.9500739,1207.0,Lenox Ave & W 115 St,1264
768,40.8013066,-73.93981670000001,726.0,Lexington Ave & E 120 St,733
769,40.8013434,-73.97114574390001,1806.0,Riverside Dr & W 104 St,1816
770,40.801486600000004,-73.9442507,864.0,E 118 St & Madison Ave,863
771,40.801694,-73.957145,2055.0,Frederick Douglass Blvd & W 112 St,2097
772,40.8021174,-73.9681805305,1387.0,West End Ave & W 107 St,1370
773,40.802535,-73.9532423,528.0,Adam Clayton Powell Blvd & W 115 St,532
774,40.8025566,-73.9490782,2069.0,Lenox Ave & W 117 St,2060
775,40.802692,-73.96295,2130.0,W 110 St & Amsterdam Ave,1718
776,40.802926299999996,-73.9379,934.0,E 123 St & Lexington Ave,918
777,40.80295,-73.942954,632.0,Madison Ave & E 120 St,645
778,40.8038654,-73.95593079999999,1669.0,Frederick Douglass Blvd & W 115 St,1733
779,40.804038,-73.945925,1083.0,Mt Morris Park W & W 120 St,1087
780,40.804213,-73.96699104,2088.0,Cathedral Pkwy & Broadway,1932
781,40.804372,-73.951475,870.0,Adam Clayton Powell Blvd & W 118 St,870
782,40.8045555,-73.93968609999999,3241.0,Park Ave & E 124 St,3226
783,40.805159,-73.95469200000001,2525.0,Frederick Douglass Blvd & W 117 St,2552
784,40.805726,-73.936322,644.0,Lexington Ave & E 127 St,671
785,40.805973,-73.964928,1375.0,W 113 St & Broadway,1333
786,40.8067581,-73.9607082,1552.0,W 116 St & Amsterdam Ave,1475
787,40.806979999999996,-73.94174699999999,933.0,5 Ave & E 126 St,924
788,40.807559999999995,-73.93918199999999,766.0,E 128 St & Madison Ave,774
789,40.8078316,-73.949373,1035.0,Adam Clayton Powell Blvd & W 123 St,1034
790,40.8082,-73.9641,1477.0,W 116 St & Broadway,1345
791,40.808442,-73.94520870000001,1977.0,Lenox Ave & W 126 St,2075
792,40.8086249,-73.9596214,1079.0,Amsterdam Ave & W 119 St,1076
793,40.809495347779475,-73.94776493310928,811.0,Adam Clayton Powell Blvd & W 126 St,862
794,40.809725,-73.953149,2125.0,St Nicholas Ave & Manhattan Ave,2140
